suite,name,summary,precondition,step_number,step,expectedresult
APP,앱 실행,로고,,1,1. 앱 실행,1. 앱 로고 노출 확인
APP,앱 최초 실행_001,스플래시,,1,1. 앱 최초 실행,"1. 스플래시 스크린 노출된다.
2. 아래 순서대로 3개의 스플래시 노출 확인
3. [시작하기] 버튼 활성화 상태로 노출 확인

 - 챌린지 함께하고 혜택을 받으세요!/이미지 노출
 - 봉사활동 인증하고 응모권을 모으세요!/이미지 노출
 - 응모패스로 문화 티켓 응모하기!/이미지 노출"
APP,앱 최초 실행_002,스플래시,,1,"1. 스플래시 스크린 노출 상태
2. 스와이프 동작",1. 다음/이전 스플래시 화면으로 이동된다.
APP,앱 최초 실행_003,스플래시,,1,"1. 스플래시 스크린 노출 상태
2. [시작하기] 버튼 클릭","1. 로그인 안내 페이지가 노출된다.

- 서비스를 이용하시려면 로그인이 필요합니다.
- [로그인 하기] 버튼"
APP,앱 최초 실행_004,로그인,비로그인 상태,1,1. [로그인 하기] 버튼 클릭,인앱 브라우저로 통합회원 로그인 페이지 노출되는지 확인
APP,앱 최초 실행_005,로그인,,1,"1. 통합회원 로그인 페이지
2. 로그인 완료",1. 권한 안내 팝업이 노출된다.
APP,앱 최초 실행_006,앱 접근 권한,,2,2. 앱 접근 권한 안내 팝업 노출,"1. 아래와 같이 노출된다.

 - 타이틀 : 앱 접근 권한 안내
 - 내용
 : 알림 (선택)
  서비스 변경내용, 이벤트 등
  알림 메시지 수신을 위해 필요한 권한입니다.

  사진/카메라 (선택)
   게시글 작성 시 파일 업로드를 위해 해당 기능 접근이 필요합니다. 

 설정 > 권한 ON / OFF 를 통해 접근 권한을 변경할 수 있습니다.
선택적 접근 권한은 동의하지 않아도 해당 기능외 앱 이용이 가능합니다. 
 - [확인] 버튼"
APP,앱 최초 실행_007,앱 추적 권한,,3,"1. 앱 접근 권한 안내 팝업 노출 상태
2. [확인] 버튼 클릭",1. 팝업 종료되며 활동 추적 허용 팝업이 노출된다.
APP,앱 최초 실행_008,앱 추적 권한,iOS 앱 실행한 상태 (AOS 제외),1,1. 활동 추적 허용 팝업 확인,"1. 아래와 같이 노출된다.

 - 타이틀 : Who's MVP 앱이 다른 회사의 앱 및 웹사이트에 걸친 사용자의 활동을 추적하도록 허용하겠습니까?
 - 문구 : 고객 마케팅 활동을 위해 정보를 수집하려고 합니다.
 - [앱에 추적 금지 요청]/[허용] 버튼"
APP,앱 최초 실행_009,앱 추적 권한,iOS 앱 실행한 상태 (AOS 제외),2,"1. 활동 추적 허용 팝업 노출 상태
2. [앱에 추적 금지 요청] 버튼 클릭",1. 팝업 종료되며 알림 권한 허용 팝업이 노출된다.
APP,앱 최초 실행_010,앱 추적 권한,iOS 앱 실행한 상태 (AOS 제외),3,"1. 활동 추적 허용 팝업 노출 상태
2. [허용] 버튼 클릭",1. 팝업 종료되며 알림 권한 허용 팝업이 노출된다.
APP,앱 최초 실행_011,알림 권한,,1,1. 알림 권한 허용 팝업 확인,"1. 아래와 같이 노출된다.

 - 타이틀 : ‘Who's MVP’에서 알림을 보내고자 합니다.
 - 문구 : 경고, 사운드 및 아이콘 배지가 알림에 포함될 수 있습니다. 설정에서 이를 구성할 수 있습니다.
 - [허용/[허용 안 함] 버튼"
APP,앱 최초 실행_012,알림 권한,,2,"1. 알림 권한 허용 팝업 노출 상태
2. [허용 안 함] 클릭","1. 팝업 종료되며 서비스 이용 알림 권한 Off로 설정된다.
2. 디바이스 설정 > 알림 : OFF 설정 확인"
APP,앱 최초 실행_013,알림 권한,,3,"1. 알림 권한 허용 팝업 
2. [허용] 버튼 클릭","1. 팝업 종료되며 서비스 이용 알림 권한 ON으로 설정된다.
2. 디바이스 설정 > 알림 : ON 설정 확인"
APP,앱 최초 실행_014,마케팅 수신 권한,,1,1. 마케팅 정보 알림 수신 동의 팝업 확인,"1. 아래와 같이 노출된다.

 - 타이틀 : 마케팅정보 알림 수신 동의
 - 문구 : Who's MVP 마케팅정보를
받으시겠습니까?

(환경 설정 > 알림 설정에서 변경 가능) 

 - [동의 안 함]/[동의] 버튼"
APP,앱 최초 실행_015,마케팅 수신 권한,,2,"1. 마케팅 정보 알림 수신 동의 팝업 노출 상태
2. [동의 안 함] 클릭","1. 팝업 종료되며 마케팅 수신 권한 OFF로 설정된다.
2. 메인페이지로 이동된다."
APP,앱 최초 실행_016,마케팅 수신 권한,,3,"1. 마케팅 정보 알림 수신 동의 팝업 노출 상태
2. [동의] 클릭","1. 아래와 같이 동의 문구가 모달 형태로 노출되며 마케팅 수신 권한 ON 설정된다.

 - 문구 : {'마케팅 수신 동의’} 알림 수신을 동의하셨습니다.
{YYYY.MM.DD}
"
APP,팝업_001,404 에러,  404 에러 발생,1,1. 앱 실행,"1. 404 에러 팝업이 노출된다.

 -  요청하신 페이지를 찾을 수 없습니다.
 - [메인 이동] 버튼"
APP,팝업_002,404 에러,  404 에러 발생,2,"1. 앱 실행 상태
2. 네트워크 연결 해제","[TBD] 1. 404 에러 팝업이 노출된다.

 -  요청하신 페이지를 찾을 수 없습니다.
 - [메인 이동] 버튼"
APP,팝업_003,404 에러,  404 에러 발생,3,"1. 앱 실행 상태
2. 404 에러 발생 > [메인 이동] 클릭",1. 메인 페이지로 이동된다.
APP,팝업_004,500 에러,  서버 에러 상태,1,1. 앱 실행,"1. 500 에러 팝업이 노출된다.

 - 알 수 없는 오류가 발생 했습니다.
 - [메인 이동] 버튼"
APP,팝업_005,500 에러,  서버 에러 상태,2,"1. 앱 실행
2. 500 에러 팝업 > [메인 이동] 클릭",1. 메인 페이지로 이동된다.
APP,팝업_006,500 에러,,3,"1. 앱 실행 상태
2. 서버 에러 발생","1. 500 에러 팝업이 노출된다.

 - 알 수 없는 오류가 발생 했습니다.
 - [메인 이동] 버튼"
